Sitzung;Sitzungsdatum;Beschlussvorlage;Kurzbeschreibung
SR;21.07.2020;2020/087;Zustimmung zu überplanmäßigen Aufwendungen und Auszahlungen für die Vergabe eines Zuschusses an den CVJM Brandis e.V. für die Sanierung des Daches und der Lichtkuppel der Kindertagesstätte „Kinderstube Brandis“
SR;21.07.2020;2020/088;Zustimmung zu außerplanmäßigen Aufwendungen und Auszahlungen für das Jubiläumsjahr „900 Jahre Brandis“
SR;21.07.2020;2020/085;Veräußerung des Flurstücks 424 der Gemarkung Brandis durch die Brandiser Wohnstättengesellschaft mbH
SR;21.07.2020;2020/021;Aufstellung eines Bebauungsplanes 'Schulcampus' Brandis
SR;21.07.2020;2020/022;Erlass einer Veränderungssperre gemäß § 14 BauGB für das BBP-Gebiet 'Schulcampus' Brandis
SR;21.07.2020;2020/074;Abwägung der Stellungnahmen zum Bebauungsplan 'Am alten Kino' Brandis
SR;21.07.2020;2020/075;Satzung zum Bebauungsplan 'Am alten Kino' Brandis
SR;21.07.2020;2020/079;Vergabe der Bauleistungen zur Umnutzung des ehemaligen Ratskellers - Gerüstbauarbeiten
SR;21.07.2020;2020/080;Vergabe der Bauleistungen zur Umnutzung des ehemaligen Ratskellers - Dachdecker
SR;21.07.2020;2020/081;Vergabe der Bauleistungen zur Umnutzung des ehemaligen Ratskeller - Zimmererarbeiten
SR;21.07.2020;2020/082;Bestätigung und erneute Auslegung des Bebauungsplanes 'Wohnen an der Bergstraße' Brandis
SR;21.07.2020;2020/077;Aufstellung eines vorhabenbezogenen Bebauungsplanes 'Waldwinkel' für das Flurstück 326/3 der Gemarkung Cämmerei
SR;21.07.2020;2020/076;Bestätigung und Auslegung zur Änderung des Bebauungsplanes 'Parkstraße II' Polenz
SR;21.07.2020;2020/086;Verkauf der Flurstücke 630/3, 630/4, 630/5, 630/6, 630/7, 630/8, 630/9, 630/10, 630/13, 630/14 und 630/15 der Gemarkung Polenz
